Year,Country or territory,Titleholder,Age[a],Hometown,National title,Date,Entrants,Page URL
1952,Finland,Armi Kuusela[1],17,Muhos,Suomen Neito 1952,"June 28, 1952",30,/wiki/Armi_Kuusela
1953,France,Christiane Martel[2],17,Créteil,Miss Cinémonde 1953,"July 17, 1953",26,/wiki/Christiane_Martel
1954,United States,Miriam Stevenson[3],21,Winnsboro,Miss USA 1954,"July 24, 1954",33,/wiki/Miriam_Stevenson
1955,Sweden,Hillevi Rombin † [b][4][5],21,Alfta,Miss Sweden 1955,"July 22, 1955",33,/wiki/Hillevi_Rombin
1956,United States,Carol Morris[6],20,Ottumwa,Miss USA 1956,"July 20, 1956",30,/wiki/Carol_Morris
1957,Peru,Gladys Zender[7],17,Lima,Miss Perú 1957,"July 19, 1957",32,/wiki/Gladys_Zender
1958,Colombia,Luz Marina Zuluaga † [b][8],19,Pereira,Virreina Colombia 1957,"July 26, 1958",36,/wiki/Luz_Marina_Zuluaga
1959,Japan,Akiko Kojima[9],22,Tokyo,Miss Japan 1959,"July 24, 1959",34,/wiki/Akiko_Kojima
1960,United States,Linda Bement † [b][10],18,Salt Lake City,Miss USA 1960,"July 9, 1960",43,/wiki/Linda_Bement
1961,Germany,Marlene Schmidt[11],23,Stuttgart,Miss Germany 1961,"July 15, 1961",48,/wiki/Marlene_Schmidt
1962,Argentina,Norma Nolan[12],24,Venado Tuerto,Miss Argentina 1962,"July 14, 1962",52,/wiki/Norma_Nolan
1963,Brazil,Iêda Maria Vargas[13],18,Porto Alegre,Miss Brazil 1963,"July 20, 1963",50,/wiki/I%C3%AAda_Maria_Vargas
1964,Greece,Corinna Tsopei[14],20,Athens,Star Hellas 1964,"August 1, 1964",60,/wiki/Corinna_Tsopei
1965,Thailand,Apasra Hongsakula[15],18,Bangkok,Miss Thailand 1964,"July 24, 1965",57,/wiki/Apasra_Hongsakula
1966,Sweden,Margareta Arvidsson[16],18,Gothenburg,Miss Sweden 1966,"July 16, 1966",58,/wiki/Margareta_Arvidsson
1967,United States,Sylvia Hitchcock † [b][17],21,Miami,Miss USA 1967,"July 15, 1967",56,/wiki/Sylvia_Hitchcock
1968,Brazil,Martha Vasconcellos[18],20,Salvador,Miss Brazil 1968,"July 13, 1968",65,/wiki/Martha_Vasconcellos
1969,Philippines,Gloria Diaz[19],18,Aringay,Binibining Pilipinas Universe 1969,"July 19, 1969",61,/wiki/Gloria_Diaz
1970,Puerto Rico,Marisol Malaret[20],20,San Juan,Miss Puerto Rico 1970,"July 11, 1970",64,/wiki/Marisol_Malaret
1971,Lebanon,Georgina Rizk[21],18,Beirut,Miss Lebanon 1970,"July 24, 1971",60,/wiki/Georgina_Rizk
1972,Australia,Kerry Anne Wells[22],20,Perth,Miss Australia 1972,"July 29, 1972",61,/wiki/Kerry_Anne_Wells
1973,Philippines,Margie Moran[23],19,Manila,Binibining Pilipinas Universe 1973,"July 21, 1973",61,/wiki/Margie_Moran
1974,Spain,Amparo Muñoz † [b][24],20,Vélez-Málaga,Miss España 1973,"July 19, 1974",65,/wiki/Amparo_Mu%C3%B1oz
1975,Finland,Anne Marie Pohtamo[25],19,Helsinki,Miss Suomi 1975,"July 19, 1975",71,/wiki/Anne_Marie_Pohtamo
1976,Israel,Rina Messinger[26],20,Kiryat Tiv'on,Miss Israel 1976,"July 11, 1976",72,/wiki/Rina_Mor
1977,Trinidad and Tobago,Janelle Commissiong[27],24,Port of Spain,Miss Trinidad & Tobago 1977,"July 16, 1977",80,/wiki/Janelle_Commissiong
1978,South Africa,Margaret Gardiner[28],18,Cape Town,Miss Republic of South Africa 1978,"July 24, 1978",75,/wiki/Margaret_Gardiner_(Miss_Universe)
1979,Venezuela,Maritza Sayalero[29],18,Caracas,Miss Venezuela 1979,"July 20, 1979",75,/wiki/Maritza_Sayalero
1980,United States,Shawn Weatherly[30],20,Sumter,Miss USA 1980,"July 8, 1980",69,/wiki/Shawn_Weatherly
1981,Venezuela,Irene Sáez[31],19,Caracas,Miss Venezuela 1981,"July 20, 1981",76,/wiki/Irene_S%C3%A1ez
1982,Canada,Karen Baldwin[32],18,London,Miss Canada 1982,"July 26, 1982",77,/wiki/Karen_Dianne_Baldwin
1983,New Zealand,Lorraine Downes[33],19,Auckland,Miss New Zealand 1983,"July 11, 1983",80,/wiki/Lorraine_Downes
1984,Sweden,Yvonne Ryding[34],21,Eskilstuna,Miss Sweden 1984,"July 9, 1984",81,/wiki/Yvonne_Ryding
1985,Puerto Rico,Deborah Carthy-Deu[35],19,San Juan,Miss Puerto Rico 1985,"July 15, 1985",79,/wiki/Deborah_Carthy-Deu
1986,Venezuela,Bárbara Palacios[36],22,Caracas,Miss Venezuela 1986,"July 21, 1986",77,/wiki/B%C3%A1rbara_Palacios
1987,Chile,Cecilia Bolocco[37],22,Santiago,Miss Chile 1987,"May 27, 1987",68,/wiki/Cecilia_Bolocco
1988,Thailand,Porntip Nakhirunkanok[38],20,Bangkok,Miss Thailand 1988,"May 24, 1988",66,/wiki/Bui_Simon
