Year,Country,Name,Age,Hometown,National Title,Date,Entrants,Page URL,Bio
1952,Finland,Armi Kuusela[1],17,Muhos,Suomen Neito 1952,"June 28, 1952",30,/wiki/Armi_Kuusela,"Armi Helena Kuusela (born 20 August 1934) is a Finnish-American charity worker, model and beauty queen. In 1952, she won the Finnish national beauty contest Suomen Neito and was presented with a trip to the United States to participate in the first-ever Miss Universe pageant, becoming its first titleholder."
1953,France,Christiane Martel[2],17,Créteil,Miss Cinémonde 1953,"July 17, 1953",26,/wiki/Christiane_Martel,"Christiane Martel (born Christiane Magnani on 18 January 1936) is a French actress and beauty queen. She became the second woman to win Miss Universe, in 1953. She was the only French woman to hold the Miss Universe title until Iris Mittenaere in 2016."
1954,United States,Miriam Stevenson[3],21,Winnsboro,Miss USA 1954,"July 24, 1954",33,/wiki/Miriam_Stevenson,"Miriam Jacqueline Stevenson (born July 4, 1933) is an American television host, actress, former model and beauty queen who was crowned Miss Universe 1954. She was the first American to win the title, and had previously been crowned Miss USA 1954. Prior to Miss USA, Stevenson was Miss South Carolina USA 1954.[citation needed] She also represented South Carolina in Miss America 1954 after winning Miss South Carolina 1953, where she placed in the top ten.[citation needed]"
1955,Sweden,Hillevi Rombin † [b][4][5],21,Alfta,Miss Sweden 1955,"July 22, 1955",33,/wiki/Hillevi_Rombin,"Hillevi Rombin Schine (September 14, 1933 – June 19, 1996) was a Swedish actress and beauty queen who was crowned as Miss Sweden and is the fourth winner of Miss Universe in 1955. She was crowned Miss Sweden Universe 1955 by Miss Sweden Universe 1954, Ragnhild Olausson. In 1996, she became the first Miss Universe title holder to die."
1956,United States,Carol Morris[6],20,Ottumwa,Miss USA 1956,"July 20, 1956",30,/wiki/Carol_Morris,"Carol Ann Laverne Morris (born April 8, 1936) is an American actress, model and beauty queen who was the second Miss USA to win the Miss Universe title in the pageant's fifth edition in 1956. She was crowned by Hillevi Rombin, Miss Universe 1955, of Sweden."
1957,Peru,Gladys Zender[7],17,Lima,Miss Perú 1957,"July 19, 1957",32,/wiki/Gladys_Zender,"Gladys Rosa Zender de Meier (née Zender Urbina;  born October 19, 1939) is a Peruvian model and beauty queen who became the first Latin American to win the Miss Universe title. She was crowned Miss Peru Universe 1957 by Miss Peru Universe 1956, Lola Sabogal Morzán."
1958,Colombia,Luz Marina Zuluaga † [b][8],19,Pereira,Virreina Colombia 1957,"July 26, 1958",36,/wiki/Luz_Marina_Zuluaga,"Luz Marina Zuluaga Zuluaga (Spanish pronunciation: [suˈlwaɣa]; October 31, 1938 – December 2, 2015) was a Colombian beauty queen who won Miss Universe 1958. She was the only Colombian woman to win the Miss Universe pageant until Paulina Vega became Miss Universe 2014."
1959,Japan,Akiko Kojima[9],22,Tokyo,Miss Japan 1959,"July 24, 1959",34,/wiki/Akiko_Kojima,"Akiko Kojima (児島 明子, Kojima Akiko, born October 29, 1936) is a Japanese model and beauty queen who was crowned Miss Universe 1959, making her the first Japanese and Asian woman to win the title."
1960,United States,Linda Bement † [b][10],18,Salt Lake City,Miss USA 1960,"July 9, 1960",43,/wiki/Linda_Bement,"Linda Jeanne Bement (November 2, 1941 – March 19, 2018) was an American model and beauty queen who became the third Miss USA to be crowned Miss Universe. She died of natural causes on March 19, 2018, at her home in Salt Lake City."
1961,Germany,Marlene Schmidt[11],23,Stuttgart,Miss Germany 1961,"July 15, 1961",48,/wiki/Marlene_Schmidt,"Marlene Schmidt (born 11 November 1937) is a German control engineer, actress, TV host and beauty queen who won Miss Universe 1961."
